Annee,Fenetre_Lookback,Jours_Entrainement,Levier,Capital_Fin,Performance
2023,2 Mois,42,4,668093.5838784155,-0.33190641612158445
2023,2 Mois,42,5,637683.3506186574,-0.36231664938134256
2023,2 Mois,42,6,612107.1792331877,-0.3878928207668123
2023,2 Mois,42,7,585692.0855439085,-0.4143079144560915
2023,2 Mois,42,8,545359.9900418096,-0.4546400099581904
2023,2 Mois,42,9,513488.2020511816,-0.4865117979488184
2023,2 Mois,42,10,476181.47878920706,-0.5238185212107929
2023,2 Mois,42,11,447171.55286895786,-0.5528284471310421
2023,2 Mois,42,12,423040.8268124788,-0.5769591731875212
2023,2 Mois,42,13,396552.94848417887,-0.6034470515158211
2023,2 Mois,42,14,382974.12184043374,-0.6170258781595663
2023,2 Mois,42,15,373290.8422962283,-0.6267091577037718
2023,3 Mois,63,1,1055314.121020762,0.05531412102076194
2023,3 Mois,63,2,1054214.9736512736,0.05421497365127359
2023,3 Mois,63,3,1038365.8092507819,0.038365809250781924
2023,3 Mois,63,4,1035036.8257000499,0.035036825700049956
2023,3 Mois,63,5,1017091.3344861049,0.017091334486105003
2023,3 Mois,63,6,1007142.0761762501,0.007142076176250178
2023,3 Mois,63,7,995670.6990860834,-0.0043293009139165894
2023,3 Mois,63,8,963830.8548474847,-0.036169145152515236
2023,3 Mois,63,9,919796.8968655149,-0.08020310313448509
2023,3 Mois,63,10,890641.3798281169,-0.10935862017188314
2023,3 Mois,63,11,856196.7665545461,-0.14380323344545387
2023,3 Mois,63,12,808736.1440162145,-0.19126385598378548
2023,3 Mois,63,13,762247.8011603182,-0.2377521988396818
2023,3 Mois,63,14,731837.2141936959,-0.26816278580630404
2023,3 Mois,63,15,712856.4987761962,-0.28714350122380383
2023,6 Mois,126,1,997367.4619438117,-0.0026325380561882383
2023,6 Mois,126,2,932914.949503774,-0.06708505049622593
2023,6 Mois,126,3,857618.2244577758,-0.1423817755422242
2023,6 Mois,126,4,791724.8001604554,-0.20827519983954457
2023,6 Mois,126,5,737396.5819051882,-0.2626034180948118
2023,6 Mois,126,6,700013.8117670821,-0.2999861882329179
2023,6 Mois,126,7,669496.0037748037,-0.33050399622519633
2023,6 Mois,126,8,646044.189826467,-0.35395581017353306
2023,6 Mois,126,9,632537.6573479059,-0.3674623426520941
2023,6 Mois,126,10,617215.0182162285,-0.3827849817837715
2023,6 Mois,126,11,603246.2935940563,-0.39675370640594376
2023,6 Mois,126,12,586996.5405277677,-0.41300345947223227
2023,6 Mois,126,13,567888.0465616429,-0.43211195343835707
2023,6 Mois,126,14,550095.0558610978,-0.44990494413890225
2023,6 Mois,126,15,534015.7603207753,-0.46598423967922464
2023,1 An,252,1,1010592.9079108065,0.01059290791080647
2023,1 An,252,2,1071623.6233588243,0.07162362335882433
2023,1 An,252,3,1132770.6452693688,0.13277064526936888
2023,1 An,252,4,1162821.8648061813,0.16282186480618122
2023,1 An,252,5,1204809.3624526004,0.2048093624526004
2023,1 An,252,6,1248911.950208921,0.24891195020892098
2023,1 An,252,7,1302034.2267517743,0.3020342267517744
2023,1 An,252,8,1361346.6176400422,0.36134661764004217
2023,1 An,252,9,1411549.7052024058,0.41154970520240575
2023,1 An,252,10,1441625.1871361446,0.4416251871361445
2023,1 An,252,11,1445957.43358543,0.44595743358542994
2023,1 An,252,12,1429898.21924047,0.4298982192404701
2023,1 An,252,13,1399386.4645081342,0.3993864645081342
2023,1 An,252,14,1343865.8767446375,0.3438658767446374
